,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
77,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.026654,0.091048,0.13656,0.1583,0.15397,0.18546,0.10142,0.019124,-0.057148,-0.12342,-0.17638,-0.21375,-0.23446,-0.23883,-0.22849,hammerstein
389,0.060885,0.070074,0.075567,0.086251,0.11037,0.15471,0.22387,0.31984,0.44173,0.58589,-0.35158,-0.35709,-0.35331,-0.34272,-0.32785,-0.31106,-0.2942,-0.27846,-0.26429,-0.25133,nde
250,0.71139,0.74754,0.77749,0.79298,0.78718,0.75546,0.6958,0.60906,0.49887,0.37133,0.26222,0.26262,0.26766,0.27625,0.28662,0.29647,0.30342,0.30548,0.30138,0.29056,wiener
563,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.1147,-1.2819,-1.3418,-1.3925,-1.4331,-1.4635,-1.4844,-1.4971,-1.5033,-1.5052,-1.505,nde
321,0.63499,0.51994,0.41648,0.33171,0.27058,0.23541,0.22568,0.23806,0.26679,0.30423,0.32578,0.30497,0.28283,0.25985,0.23647,0.21335,0.19134,0.17154,0.15518,0.1435,wiener
486,0.68232,0.68413,0.66018,0.61614,0.55958,0.4992,0.44394,0.40211,0.38056,0.38397,-0.10788,-0.087469,-0.057116,-0.018475,0.026195,0.074218,0.12274,0.16901,0.21058,0.24559,nde
298,0.66018,0.61614,0.55958,0.4992,0.44394,0.40211,0.38056,0.38397,0.41437,0.47096,0.21144,0.27822,0.32429,0.34382,0.33907,0.3175,0.28746,0.25569,0.2269,0.20434,wiener
128,0.96175,0.86495,0.75306,0.63499,0.51994,0.41648,0.33171,0.27058,0.23541,0.22568,0.67589,0.70332,0.72707,0.74477,0.75421,0.75353,0.74152,0.71779,0.68297,0.63874,hammerstein
277,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.21703,-0.26692,-0.29233,-0.28855,-0.25353,-0.093716,-0.053687,-0.015591,0.017456,0.04256,0.057406,0.060658,0.052231,0.033291,0.006109,wiener
503,1.0238,1.074,1.0938,1.0808,1.0357,0.96175,0.86495,0.75306,0.63499,0.51994,0.31892,0.32992,0.3483,0.3748,0.40933,0.4509,0.4977,0.54729,0.5968,0.64314,nde
521,0.34163,0.37,0.381,0.3678,0.32571,0.25274,0.14974,0.020379,-0.12919,-0.29093,0.63408,0.59623,0.55975,0.52714,0.50021,0.47994,0.46639,0.45869,0.45517,0.45351,nde
512,0.51994,0.41648,0.33171,0.27058,0.23541,0.22568,0.23806,0.26679,0.30423,0.34163,0.64314,0.68335,0.71483,0.73558,0.74445,0.7412,0.72657,0.70219,0.67041,0.63408,nde
569,-1.0455,-1.073,-1.0991,-1.1147,-1.1115,-1.0826,-1.0235,-0.93216,-0.80938,-0.65888,-1.4971,-1.5033,-1.5052,-1.505,-1.5048,-1.5061,-1.5104,-1.518,-1.5289,-1.5422,nde
289,0.017123,0.14278,0.27201,0.39544,0.50433,0.59139,0.65155,0.68232,0.68413,0.66018,-0.089257,-0.11099,-0.12061,-0.11539,-0.0941,-0.056818,-0.0045148,0.060834,0.13529,0.21144,wiener
34,1.3128,1.3019,1.3155,1.3532,1.4116,1.4848,1.5651,1.6439,1.7119,1.761,1.1079,1.1176,1.1183,1.1117,1.0997,1.0843,1.0675,1.051,1.0361,1.0239,hammerstein
66,0.6958,0.60906,0.49887,0.37133,0.23442,0.097206,-0.030973,-0.14145,-0.22705,-0.28277,0.59561,0.58591,0.57764,0.5682,0.55469,0.5341,0.5038,0.46192,0.40779,0.34213,hammerstein
118,0.55014,0.64584,0.75013,0.85397,0.94807,1.0238,1.074,1.0938,1.0808,1.0357,0.57198,0.56396,0.55653,0.55238,0.55348,0.5609,0.57486,0.59478,0.61946,0.64718,hammerstein
368,-1.7552,-1.6642,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-0.43398,-0.42965,-0.42276,-0.41357,-0.40244,-0.38991,-0.37666,-0.3635,-0.35132,-0.34104,wiener
402,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,1.6157,1.5763,1.5206,1.4577,-0.18254,-0.151,-0.10986,-0.057982,0.0050873,0.078974,0.16248,0.25366,0.3499,0.44816,nde
406,1.6172,1.6313,1.6157,1.5763,1.5206,1.4577,1.3967,1.346,1.3128,1.3019,0.0050873,0.078974,0.16248,0.25366,0.3499,0.44816,0.54519,0.63779,0.72306,0.79866,nde
301,0.4992,0.44394,0.40211,0.38056,0.38397,0.41437,0.47096,0.55014,0.64584,0.75013,0.34382,0.33907,0.3175,0.28746,0.25569,0.2269,0.20434,0.19034,0.18657,0.194,wiener
