,u_0,y_0,y_1
104,1.168,0.87546,0.87169
105,0.4033,0.87169,0.76164
106,0.4033,0.76164,0.66768
107,0.4033,0.66768,0.59233
108,-0.21711,0.59233,0.3856
109,-0.21711,0.3856,0.2156
110,-0.21711,0.2156,0.087944
111,-1.2006,0.087944,-0.29003
112,-1.2006,-0.29003,-0.51737
113,-1.2006,-0.51737,-0.64893
114,0.5538,-0.64893,-0.34982
115,0.5538,-0.34982,-0.089003
116,0.5538,-0.089003,0.1033
117,0.22554,0.1033,0.13932
118,0.22554,0.13932,0.16433
119,0.22554,0.16433,0.18171
120,1.4386,0.18171,0.51065
121,1.4386,0.51065,0.68905
122,1.4386,0.68905,0.78949
123,0.75478,0.78949,0.75031
124,0.75478,0.75031,0.72107
125,0.75478,0.72107,0.69966
126,-0.27643,0.69966,0.46865
127,-0.27643,0.46865,0.26507
128,-0.27643,0.26507,0.10668
129,-2.3756,0.10668,-0.56769
130,-2.3756,-0.56769,-0.85894
131,-2.3756,-0.85894,-0.99011
132,-0.73612,-0.99011,-0.91049
133,-0.73612,-0.91049,-0.84291
134,-0.73612,-0.84291,-0.78857
135,1.6988,-0.78857,-0.1924
136,1.6988,-0.1924,0.35727
137,1.6988,0.35727,0.65678
138,-1.0511,0.65678,0.2207
139,-1.0511,0.2207,-0.15697
140,-1.0511,-0.15697,-0.4028
141,0.11187,-0.4028,-0.25877
142,0.11187,-0.25877,-0.15059
143,0.11187,-0.15059,-0.072524
144,2.1691,-0.072524,0.54033
145,2.1691,0.54033,0.81951
146,2.1691,0.81951,0.95061
147,0.69225,0.95061,0.87103
148,0.69225,0.87103,0.80459
149,0.69225,0.80459,0.75186
150,-0.11495,0.75186,0.55505
151,-0.11495,0.55505,0.38013
152,-0.11495,0.38013,0.24047
153,-2.8155,0.24047,-0.59237
154,-2.8155,-0.59237,-0.92091
155,-2.8155,-0.92091,-1.0555
156,0.085194,-1.0555,-0.8803
157,0.085194,-0.8803,-0.68785
158,0.085194,-0.68785,-0.50258
159,-0.64244,-0.50258,-0.5237
